Publisher Name,Publisher Registry Id,Version (with valid data),Reporting-Org (with valid data),Iati-identifier (with valid data),Participating Organisation (with valid data),Title (with valid data),Description (with valid data),Status (with valid data),Activity Date (with valid data),Sector (with valid data),Country or Region (with valid data),Average (with valid data),Version (with any data),Reporting-Org (with any data),Iati-identifier (with any data),Participating Organisation (with any data),Title (with any data),Description (with any data),Status (with any data),Activity Date (with any data),Sector (with any data),Country or Region (with any data),Average (with any data)
EngenderHealth Ethiopia,engenderhealth_eth,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Engineers Without Borders Canada,ewb_canada,100,100,100,0,100,50,100,25,25,75,68,100,100,100,100,100,50,100,25,25,100,80
Enhanced Integrated Framework,eif,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
"Entiqal for Training ""Partners for Good""",pfg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Entraide et Fraternité,ef_,100,100,100,93,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Environmental Centre for Oil Spills and Gas Flaring (NACGOND),nacgond-,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Equality Now,e_n,100,100,60,100,100,100,100,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100
equileap,equileap,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethical Trading Initiative,eti,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopiaid Ireland,ethiopiaidireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopiaid UK,ethiopiaiduk,100,100,100,40,100,100,100,100,60,95,90,100,100,100,100,100,100,100,100,100,95,100
Ethiopian Horticulture Producer Exporters Association (EHPEA),ehpea,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopian Public Health Association,epha,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Ethiopian Women Lawyers Association,ewla,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopian Women with Disabilities National Assocation,ewdna2025,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Eurasia Partnership Foundation,epf,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
European Bank for Reconstruction and Development,ebrd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
European Commission - Humanitarian Aid & Civil Protection,ec-echo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
European Commission - International Partnerships,ec-intpa,100,100,100,100,100,100,100,100,99,94,99,100,100,100,100,100,100,100,100,100,100,100
European Commission - Neighbourhood and Enlargement Negotiations,ec-near,100,100,100,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100,100
European Commission - Service for Foreign Policy Instruments,ec-fpi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
European Forest Institute,efi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
European Institute of Peace,eip,100,100,100,0,100,100,100,100,100,86,89,100,100,100,100,100,100,100,100,100,86,99
European Investment Bank,eib,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
European Journalism Centre,ejc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Eve Organization for Women Development,eveowd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
EveryChild,evc,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Excellent Development,excellent,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Exeter Ethiopia Link,eel,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Fair Wear Foundation,fwf,100,100,100,10,100,100,100,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100
Fairfood International,fairfood,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fairtrade Belgium,fairtrade_be,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Fairtrade Labelling Organizations International e.V.,fairtrade_international,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Faith to Action Network,f2a,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Family Aids Caring Trust,fact,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Family Counseling and Development Foundation,fcdf,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Family Guidance Association of Ethiopia,fgae_ethiopia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Family Life Education Program,flepuganda,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Farm Africa,fa,100,100,100,100,100,100,100,100,0,100,90,100,100,100,100,100,100,100,100,100,100,100
Farm Concern International,fci,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Fauna & Flora International,ffi_publisher,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Federation of Women Lawyers Kenya,fida,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Feed the Minds,ftm-291333,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FHI360,fhi360,100,100,100,83,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
Fiabel,fiabel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FIAN Belgium,fian-belgium,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
"Field Ready, USA",field_ready,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fiftyfifty,fiftyfifty-lb,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fight Hunger Foundation,fhf,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Financial Sector Deepening Trust (Kenya),fsdk,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Financial Sector Deepening Uganda,fsduganda,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Find Your Feet,fyf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Finland - Ministry for Foreign Affairs,finland_mfa,84,100,100,84,100,100,100,85,100,100,95,100,100,100,100,100,100,100,85,100,100,98
Finn Church Aid (Kirkon Ulkomaanapu sr),fca,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
FMO,fmo,100,100,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,100,99,99,100
FONCABA ASBL KBA VZW,foncaba,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Fondation Hirondelle,fh_ch,100,100,100,100,100,100,100,100,0,100,90,100,100,100,100,100,100,100,100,100,100,100
Fondo Centroamericano de Mujeres,fcam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,fos,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Food and Agriculture Organization of the United Nations (FAO),fao,100,100,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,97,100,100
Food for the Hungry UK,fh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Forest Trends Association,forest-trends,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Forests Monitor,fm,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Forschungsinstitut zur Zukunft der Arbeit GmbH (IZA),iza,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Forum for Africa Women Educationalist Regional Secretariat,fawe-rs,100,100,100,87,100,100,100,100,100,87,97,100,100,100,100,100,100,100,100,100,87,99
forum for women in democracy,fowode,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,fucid,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Foundation for Social Improvement,the_fsi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France - Ministry for Europe and Foreign Affairs,france,100,100,100,100,100,84,100,100,100,100,98,100,100,100,100,100,84,100,100,100,100,98
FRANK Water,frankwater,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Free a Girl,freeagirl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Free Press Unlimited,free_press_unlimited,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Freedom Forum,ff,100,100,100,50,100,100,100,100,50,100,90,100,100,100,50,100,100,100,100,50,100,90
Friends of Kipkelion,kipkelion,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Friends of Publish What You Fund,friendsofpwyf,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
"Friends of the Earth England, Wales and Northern Ireland",foe_ewni,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Friends of the Earth International,foei,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Friends of the Earth-Ghana,foe-ghana,100,100,100,100,100,100,100,100,0,100,90,100,100,100,100,100,100,100,100,100,100,100
Frontline AIDS,f-aids,100,100,100,79,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
FSD Africa,fsdafrica,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Fundacion Acceso,fundacion-acceso,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fundación Avina,fundacionavina,100,100,0,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Fundación Fondo Mujeres del Sur,fms,100,100,100,100,100,100,100,100,100,0,90,100,100,100,100,100,100,100,100,100,100,100
Fundación Gaia Amazonas,gaia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fundación Oriéntame,orientame,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Fundo de Investimento e Patrimonio do Abastecimento de Água (FIPAG),fipag,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
GALZ,galz,100,100,100,33,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
"Gavi, the vaccine alliance",gavi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GEF Secretariat,gef,100,100,100,100,100,100,100,91,89,0,88,100,100,100,100,100,100,100,100,92,0,89
GEMS Education Solutions,mgcubed,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Gender at Work,genderatwork,100,100,100,25,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Gender Equality Network,gen,100,100,100,100,100,0,100,100,100,100,90,100,100,100,100,100,0,100,100,100,100,90
Gender Links,gl,100,100,100,17,100,100,100,50,83,100,85,100,100,100,100,100,100,100,100,83,100,98
Geneva International Centre for Humanitarian Demining,gichd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GEOMOUN ASBL,geomoun,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Germany - Federal Foreign Office,fo_germany,100,100,100,100,100,100,100,100,96,94,99,100,100,100,100,100,100,100,100,100,100,100
Germany - Ministry for Economic Cooperation and Development,bmz,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Germany GIZ Non BMZ,giz,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Girls Not Brides: The Global Partnership to End Child Marriage,girlsnotbrides,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Girls’ Education Challenge – Fund Manager PwC,gecfundmanagerpwc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Giro555 (Stichting Samenwerkende Hulporganisaties),giro555,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GiveDirectly,givedirectly,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Global Action Nepal,gan,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Global Alliance for Livestock Veterinary Medicines,galvmed,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Alliance for TB Drug Development,tb-a,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Anaesthesia Development Partnerships,gadp,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Global Antibiotic Research and Development Partnership,gardp,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Canopy,globalcanopy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Disability Innovation Hub,gdihub,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Focus,globaltfokus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Fund for Community Foundations,gfcf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Fund to End Modern Slavery,gfems,100,100,90,10,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Global Green Growth Institute (GGGI),gggi,100,100,100,87,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Global Impact Investing Network,giin,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Global Innovation Fund,gif,100,100,100,4,100,100,100,100,100,75,88,100,100,100,100,100,100,100,100,100,96,100
Global Network of People Living with HIV (GNP+),gnpplus,100,100,100,70,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Global Network of Sex Work Projects (NSWP),nswp,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Global Partnership for Education,gpe,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Global Rights Compliance,grc2018,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Water Partnership,gwp,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Global Witness,globalwitness,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
GlobalGiving.org,globalgiving,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
GOAL,goal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GOGLA - Global Off-Grid Lighting Association,gogla,100,100,50,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
GoodWeave International,goodweave_intl,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Goree Institute,gorin,100,100,100,100,100,0,100,100,100,100,90,100,100,100,100,100,0,100,100,100,100,90
GPPAC Foundation,gppac,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Grand Challenges Canada,hgc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Greater Virunga Transboundary Collaboration,gvtc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ground Truth Solutions,ground-truth-solutions,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Groupe Pivot Santé Population,gpsp-org,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Grow Asia,growasia,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Grow Movement,growmovement_admin,100,100,100,0,100,100,100,100,100,50,85,100,100,100,100,100,100,100,100,100,100,100
GSMA Foundation,gsma_foundation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Gulu University,guluuni,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Guttmacher Institute,guttmacher,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hagar International UK,hagar_uk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Haiti Hospital Appeal,hha,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hand in Hand International,handinhand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Handicap International Belgique,hib,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Handicap International Federation,hi_fed,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Handicap International UK,hiuk,100,100,78,96,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Health Development Initiative,hdi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Health Insurance Fund,hif,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Health Poverty Action,hpa,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
HealthNet TPO,healthnet,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
HealthProm,hp_12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Healthright International-Kenya,hri,100,100,62,100,100,100,100,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100
Healthy Entrepreneurs Foundation,hefoundation,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Heartland Alliance International,ha-i,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Heifer International South Africa,hsa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Heifer Nederland,heifernederland,100,100,100,67,100,100,100,100,0,100,87,100,100,100,100,100,100,100,100,100,100,100
HelpAge International,helpage_international,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
HelpAge International UK,ageintl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Helvetas Swiss Intercooperation,hsi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Higher Population Council,hpc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
HiiL innovating Justice,hiil_mfa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hilfswerk Austria Zimbabwe,hwa-zm,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Hivos,stichting_hivos,100,100,100,100,100,100,100,100,100,86,99,100,100,100,100,100,100,100,100,100,100,100
HM Treasury,hmtfitb,100,100,33,67,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Homeless International,hi,100,100,100,14,100,100,100,14,29,14,67,100,100,100,100,100,100,100,100,29,14,84
Hope and Homes for Children,hhc,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Hope for Children,hfc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Horizons for Green Development,horizons,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Hospice Africa Ltd,hauk,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
HTSPE,htspe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Huairou Commission,hc2022,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Human Relief Foundation,hrf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Humanitarian Quality Assurance Initiative,hqai,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
I Choose Life Africa,ke-ngc-3372,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Ibrahimia Media Center,imc-2021,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ICA:UK,icauk,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
ICCO Cooperation,icco-cooperation,100,100,100,93,96,100,100,100,39,100,93,100,100,100,100,96,100,100,100,46,100,94
ICF Consulting Services Ltd,icf,100,100,50,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
ICS,ics,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
IDB Invest,idbinvest,100,100,100,100,100,100,100,100,100,11,91,100,100,100,100,100,100,100,100,100,11,91
iDE,ide,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IDEO.org,ideo_org,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IDH Investment Management B.V.,idh_im,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"IDH, the Sustainable Trade Initiative",idh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IDinsight,idinsight,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IDOM INGENIERIA,idom_mx,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IFOAM - Organics International,ifoam,100,100,100,90,100,100,100,100,100,86,98,100,100,100,100,100,100,100,100,100,86,99
IHE Delft Institute for Water Education,ihedelft,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Iles de Paix,idp,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
ILGA Asia,ilgaasia,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
IMA World Health,us-imawh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IMC WORLDWIDE,imcw_admin,100,100,100,100,100,100,100,97,100,96,99,100,100,100,100,100,100,100,100,100,100,100
IMD Moçambique,imdmozambique,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
IMPACT Initiatives,impact_initiatives,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Imperial College of Science, Technology and Medicine",imperial,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Impunity Watch,iw_admin,100,100,0,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Index Initiative Foundation,iif,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Indigo Trust,indtrust,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
inHive,inhive,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iniciativa Climatica de Mexico,icm_mx,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Initiative Sankofa d'Afrique de l'Ouest,isdao,100,100,100,25,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Innovate UK KTN,ktn,100,100,100,100,100,100,100,100,100,0,90,100,100,100,100,100,100,100,100,100,100,100
Instiglio,instiglio,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,ifsi_isvi,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
"Institut National de l'Eau, Benin",ine_benin,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Institute for International Workers Education,iiwe,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Institute for Policy Research and Advocacy (ELSAM),elsam,100,100,100,0,100,100,100,100,100,0,80,100,100,100,100,100,100,100,100,100,0,90
Institute for Security Studies,issafrica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Institute for War & Peace Reporting,iwpr,100,100,100,86,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Institute of Development Studies,ids,100,100,100,86,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Institute of Tropical Medicine,itm,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Instituto BVRio,bvrio,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Integrity Action,integrity_action,100,100,100,0,100,100,100,100,95,100,90,100,100,100,100,100,100,100,100,95,100,100
Integrity Research and Consultancy Ltd,integrity,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Inter-American Development Bank,iadb,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Interact Worldwide,iww_publish,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
InterAction,interaction,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
InterAction's NGO Aid Map,ia_nam,100,100,100,62,100,100,100,100,91,99,95,100,100,100,100,100,100,100,100,100,100,100
interburns,interburns,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
InterClimate Network,icn,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Aids Vaccine Initiative (IAVI),iavi,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
International Alert,international-alert,100,100,100,18,100,100,100,100,78,79,88,100,100,100,100,100,100,100,100,78,100,98
International Bureau of Fiscal Documentation (IBFD),ibfd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Campaign Women´s Right to Safe Abortion,icwrsa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Center for Not-for-Profit Law,icnl_org,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Center for Transitional Justice,ictj,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Centre for Antimicrobial Resistance Solutions,icars,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
